cryptoPair,copyPopularity,roi,pnl,runningTime,direction
ETHBUSD Perpetual,0,150.69%,301.39,23d 40m,23d 40m
ETHBUSD Perpetual,2,150.62%,19.66,25d 15h 27m,25d 15h 27m
ETHBUSD Perpetual,0,149.12%,89.47,13h 56m,13h 56m
LITUSDT Perpetual,0,146.49%,366.24,24d 13h 53m,24d 13h 53m
XRPUSDT Perpetual,1,146.36%,1.45,24d 23h 33m,24d 23h 33m
APEBUSD Perpetual,0,146.23%,1827.89,31d 10h 34m,31d 10h 34m
BCHUSDT Perpetual,0,145.38%,8.55,26d 14h 19m,26d 14h 19m
1000LUNCBUSD Perpetual,0,145.20%,14520.17,14d 13h 39m,14d 13h 39m
ETHUSDT Perpetual,0,145.00%,145.00,21d 3h 41m,21d 3h 41m
LITUSDT Perpetual,0,144.86%,26.34,23d 15h 13m,23d 15h 13m
WAVESUSDT Perpetual,0,144.15%,144.15,59d 23h 37m,59d 23h 37m
BTCBUSD Perpetual,1,143.42%,100.40,20d 22h 27m,20d 22h 27m
SOLUSDT Perpetual,0,143.35%,215.03,11d 17h 25m,11d 17h 25m
ZENUSDT Perpetual,0,143.28%,379.71,1y 62d 15h 28m,1y 62d 15h 28m
SOLUSDT Perpetual,0,143.20%,286.40,27d 11h 38m,27d 11h 38m
BTCBUSD Perpetual,0,143.15%,100.21,20d 22h 28m,20d 22h 28m
ETHUSDT Perpetual,1,142.30%,14.36,29d 1h 10m,29d 1h 10m
BATUSDT Perpetual,0,142.29%,23.07,20d 9h 31m,20d 9h 31m
WAVESUSDT Perpetual,0,141.73%,708.70,24d 9h 13m,24d 9h 13m
XRPUSDT Perpetual,0,141.60%,7.08,23d 10h 5m,23d 10h 5m
LUNA2BUSD Perpetual,2,141.15%,6.20,31d 15h 25m,31d 15h 25m
TOMOUSDT Perpetual,0,140.12%,280.26,29d 18h 35m,29d 18h 35m
SOLBUSD Perpetual,0,140.02%,1803.59,30d 19h 19m,30d 19h 19m
SANDUSDT Perpetual,0,139.16%,69.58,51d 3h 13m,51d 3h 13m
SANDUSDT Perpetual,0,139.14%,208.71,11d 19h 16m,11d 19h 16m
WAVESUSDT Perpetual,0,138.83%,84.69,12d 4h 20m,12d 4h 20m
DOGEUSDT Perpetual,1,138.70%,111.68,30d 20h 23m,30d 20h 23m
TRBUSDT Perpetual,0,138.66%,15.95,29d 3h 42m,29d 3h 42m
MTLUSDT Perpetual,0,138.03%,41.41,22d 17h 42m,22d 17h 42m
AXSUSDT Perpetual,0,137.70%,192.79,26d 19h 46m,26d 19h 46m
GMTUSDT Perpetual,0,137.32%,686.61,14d 3h 5m,14d 3h 5m
ATOMUSDT Perpetual,0,137.31%,221.08,60d 23h 49m,60d 23h 49m
LINKUSDT Perpetual,1,137.23%,20.63,10d 11h 40m,10d 11h 40m
BTCUSDT Perpetual,0,137.12%,54.85,23d 23h 59m,23d 23h 59m
ADABUSD Perpetual,0,135.95%,1751.09,60d 6h 33m,60d 6h 33m
CHZUSDT Perpetual,0,135.94%,71.18,18d 4h 1m,18d 4h 1m
BTCUSDT Perpetual,0,135.08%,540.33,20d 19h 12m,20d 19h 12m
1000SHIBUSDT Perpetual,0,134.92%,40.48,22d 10h 8m,22d 10h 8m
PEOPLEUSDT Perpetual,0,134.82%,269.65,30d 18h 13m,30d 18h 13m
CHZUSDT Perpetual,0,134.55%,51.18,54d 19h 9m,54d 19h 9m
TLMBUSD Perpetual,0,133.86%,33.47,32d 12h 29m,32d 12h 29m
PEOPLEUSDT Perpetual,0,133.69%,28.92,22d 1h 36m,22d 1h 36m
APEBUSD Perpetual,0,132.52%,2.58,16d 21h 20m,16d 21h 20m
XEMUSDT Perpetual,26,131.81%,26.36,9d 18h 52m,9d 18h 52m
DASHUSDT Perpetual,0,131.76%,8.96,23d 4h 37m,23d 4h 37m
AVAXBUSD Perpetual,0,131.27%,19.69,27d 10h 50m,27d 10h 50m
SOLBUSD Perpetual,2,131.21%,69.57,23d 19h 54m,23d 19h 54m
BNBBUSD Perpetual,7,131.17%,1689.60,61d 8h 41m,61d 8h 41m
XRPUSDT Perpetual,0,131.04%,41.28,1y 40d 16h 21m,1y 40d 16h 21m
WAVESUSDT Perpetual,0,130.32%,65.16,43d 6h 2m,43d 6h 2m
SOLUSDT Perpetual,0,129.19%,21.51,16d 1h 35m,16d 1h 35m
ADAUSDT Perpetual,2,129.17%,1679.33,41d 57m,41d 57m
BTCBUSD Perpetual,0,129.09%,1290.95,26d 4h 43m,26d 4h 43m
STORJUSDT Perpetual,0,128.88%,3.87,9d 7h 6m,9d 7h 6m
UNIUSDT Perpetual,0,128.47%,348.18,1y 53d 7h 37m,1y 53d 7h 37m
BTCBUSD Perpetual,0,128.11%,1276.60,23d 17h 30m,23d 17h 30m
MATICUSDT Perpetual,0,127.88%,6.39,1y 49d 2h 40m,1y 49d 2h 40m
RVNUSDT Perpetual,0,127.63%,12.76,25d 23h 29m,25d 23h 29m
BTCBUSD Perpetual,7,126.91%,181.49,23d 23h 19m,23d 23h 19m
ETHUSDT Perpetual,5,126.80%,3.80,14d 13h 51m,14d 13h 51m
ANCBUSD Perpetual,2,126.02%,12602.25,22d 18h 51m,22d 18h 51m
DOTUSDT Perpetual,0,125.73%,19.17,20d 4h 9m,20d 4h 9m
TLMBUSD Perpetual,0,125.56%,30.64,14d 17h 34m,14d 17h 34m
1000SHIBUSDT Perpetual,1,125.54%,31.39,21d 5h 25m,21d 5h 25m
LTCUSDT Perpetual,0,124.86%,24.97,26d 5h 37m,26d 5h 37m
DOGEUSDT Perpetual,0,124.43%,17.92,47d 12h 14m,47d 12h 14m
ETHUSDT Perpetual,1,124.30%,31.08,25d 3h 38m,25d 3h 38m
WAVESUSDT Perpetual,0,123.70%,74.22,23d 3h 55m,23d 3h 55m
UNFIUSDT Perpetual,2,122.22%,24.44,9d 6h 40m,9d 6h 40m
BNBUSDT Perpetual,0,122.16%,162.88,11d 13h 27m,11d 13h 27m
BTCUSDT Perpetual,2,122.00%,91.88,14d 22h 38m,14d 22h 38m
CELRUSDT Perpetual,0,120.61%,180.93,11d 11h 47m,11d 11h 47m
ROSEUSDT Perpetual,0,120.59%,173.21,22d 14h 37m,22d 14h 37m
GMTUSDT Perpetual,0,120.11%,85.28,16d 10h 9m,16d 10h 9m
GMTBUSD Perpetual,1,119.87%,38.36,22d 15h 33m,22d 15h 33m
DEFIUSDT Perpetual,0,119.68%,12.06,22d 12h 19m,22d 12h 19m
ANTUSDT Perpetual,0,118.62%,17.79,26d 15h 23m,26d 15h 23m
SNXUSDT Perpetual,0,118.54%,26.08,13d 20h 37m,13d 20h 37m
DODOBUSD Perpetual,1,118.44%,11844.29,45d 13h 52m,45d 13h 52m
ADAUSDT Perpetual,0,118.24%,35.47,1y 56d 14h 47m,1y 56d 14h 47m
TLMBUSD Perpetual,0,118.13%,118.13,12d 10h 57m,12d 10h 57m
APEUSDT Perpetual,0,117.52%,12.93,15d 21h 56m,15d 21h 56m
MATICUSDT Perpetual,0,117.29%,55.13,39d 12h 42m,39d 12h 42m
BNBUSDT Perpetual,0,116.95%,3.51,44d 4h 1m,44d 4h 1m
ATOMUSDT Perpetual,0,116.90%,24.55,25d 4h 39m,25d 4h 39m
BNBUSDT Perpetual,0,116.65%,40.62,29d 27m,29d 27m
APEBUSD Perpetual,0,115.87%,96.28,12d 14h 57m,12d 14h 57m
1000SHIBUSDT Perpetual,0,115.80%,34.74,19d 19h 3m,19d 19h 3m
APEBUSD Perpetual,0,114.91%,5.75,16d 2h 43m,16d 2h 43m
ADAUSDT Perpetual,0,114.62%,23.45,27d 8h 22m,27d 8h 22m
PEOPLEUSDT Perpetual,1,114.52%,229.76,51d 5h 53m,51d 5h 53m
TRXUSDT Perpetual,0,114.36%,227.60,62d 8h 49m,62d 8h 49m
1000SHIBUSDT Perpetual,0,114.28%,228.57,19d 17h 44m,19d 17h 44m
GMTBUSD Perpetual,2,114.07%,2.40,18d 10h 42m,18d 10h 42m
BTCUSDT Perpetual,0,113.85%,27.28,8d 14h 31m,8d 14h 31m
SUSHIUSDT Perpetual,0,113.66%,1136.63,29d 14h 49m,29d 14h 49m
PEOPLEUSDT Perpetual,6,112.81%,2256.40,15d 5h 32m,15d 5h 32m
AVAXBUSD Perpetual,0,112.36%,168.54,26d 16h 52m,26d 16h 52m
BNXUSDT Perpetual,2,111.32%,8349.30,29d 4h 43m,29d 4h 43m
GALBUSD Perpetual,0,109.83%,274.60,27d 4h 41m,27d 4h 41m
ETHUSDT Perpetual,0,109.58%,821.86,12d 7h 13m,12d 7h 13m
MATICUSDT Perpetual,2,108.91%,54.46,48d 11h 7m,48d 11h 7m
1000SHIBUSDT Perpetual,0,108.90%,14.20,18d 9h 41m,18d 9h 41m
ICPBUSD Perpetual,0,108.76%,1087.61,32d 10h 42m,32d 10h 42m
ETHUSDT Perpetual,0,108.76%,43.50,27d 5h 14m,27d 5h 14m
BTCBUSD Perpetual,0,108.72%,217.44,23d 44m,23d 44m
