cryptoPair,copyPopularity,roi,pnl,runningTime
SHIB/DOGE,0,16.66%,55.41,61d 3m
ACA/USDT,0,16.65%,28.23,13d 12h
AAVE/USDT,0,16.65%,76.77,16d 16h 35m
MATIC/BUSD,0,16.64%,55.33,59d 6h 49m
LAZIO/BUSD,0,16.62%,19.87,45d 5h 33m
JASMY/BTC,0,16.59%,37.47,54d 12h 57m
SHIB/DOGE,0,16.56%,49.87,49d 10h 50m
ALPACA/BUSD,1,16.53%,115.33,9d 11h 34m
SOL/USDT,0,16.52%,13.89,36d 17h 55m
PEOPLE/USDT,0,16.51%,153.12,20d 20h 39m
MATIC/USDT,1,16.48%,51.79,26d 3h 45m
GMT/USDT,0,16.45%,30.54,43d 23h 10m
TRX/BUSD,0,16.45%,48.36,67d 4h 47m
BNX/BUSD,0,16.43%,36.71,57d 19h 24m
IMX/USDT,0,16.41%,147.65,39d 6h 3m
ADA/BNB,1,16.35%,138.37,41d 14h 24m
