cryptoPair,copyPopularity,roi,pnl,runningTime,direction
WAVESUSDT Perpetual,0,116.75%,70.05,21d 10h 55m,21d 10h 55m
FTMBUSD Perpetual,0,116.74%,5.84,14d 2h 23m,14d 2h 23m
RVNUSDT Perpetual,0,116.59%,11.66,24d 6h 29m,24d 6h 29m
CHZUSDT Perpetual,0,115.87%,60.67,16d 11h 1m,16d 11h 1m
MATICUSDT Perpetual,0,115.86%,54.46,37d 19h 42m,37d 19h 42m
REEFUSDT Perpetual,0,115.68%,16.20,48d 18h 24m,48d 18h 24m
ETCUSDT Perpetual,0,115.22%,169.39,117d 13h 54m,117d 13h 54m
APEBUSD Perpetual,0,114.91%,5.75,14d 9h 43m,14d 9h 43m
BTCUSDT Perpetual,1,114.21%,114.21,4d 7h 59m,4d 7h 59m
NEOUSDT Perpetual,0,113.75%,1421.92,60d 10h 53m,60d 10h 53m
TLMBUSD Perpetual,0,113.05%,28.26,30d 19h 29m,30d 19h 29m
XRPUSDT Perpetual,1,112.73%,22.55,31d 15h 59m,31d 15h 59m
ROSEUSDT Perpetual,0,111.85%,160.66,20d 21h 37m,20d 21h 37m
SKLUSDT Perpetual,0,111.76%,39.12,27d 6h 25m,27d 6h 25m
ALGOUSDT Perpetual,1,111.30%,72.35,29d 14h 52m,29d 14h 52m
ETHUSDT Perpetual,1,111.14%,27.79,23d 10h 38m,23d 10h 38m
APEBUSD Perpetual,0,110.94%,92.18,10d 21h 57m,10d 21h 57m
XTZUSDT Perpetual,0,110.84%,332.54,19d 1h 59m,19d 1h 59m
GALAUSDT Perpetual,1,110.83%,16.63,31d 12h 16m,31d 12h 16m
XMRUSDT Perpetual,0,110.50%,161.34,117d 13h 56m,117d 13h 56m
ADAUSDT Perpetual,0,110.45%,19.96,11d 18h 26m,11d 18h 26m
ETHUSDT Perpetual,0,110.13%,44.05,25d 12h 14m,25d 12h 14m
ANTUSDT Perpetual,0,110.12%,7.71,24d 14h 9m,24d 14h 9m
GRTUSDT Perpetual,0,109.98%,44.00,44d 17h 2m,44d 17h 2m
BTCBUSD Perpetual,0,108.74%,35.88,14d 1h 47m,14d 1h 47m
ETHUSDT Perpetual,0,108.61%,275.08,19d 19h 15m,19d 19h 15m
BTCBUSD Perpetual,0,108.59%,217.19,21d 7h 44m,21d 7h 44m
LTCUSDT Perpetual,0,108.10%,723.22,57d 13h 6m,57d 13h 6m
LINKUSDT Perpetual,0,107.94%,16.22,8d 18h 40m,8d 18h 40m
AVAXBUSD Perpetual,0,107.76%,161.65,24d 23h 52m,24d 23h 52m
TLMBUSD Perpetual,0,107.59%,26.25,13d 34m,13d 34m
BNBUSDT Perpetual,0,107.46%,5.59,18d 3h 11m,18d 3h 11m
SUSHIUSDT Perpetual,0,107.45%,12.79,26d 9h 11m,26d 9h 11m
PEOPLEUSDT Perpetual,0,106.96%,21.39,19d 10h 41m,19d 10h 41m
BTCBUSD Perpetual,0,106.91%,80.35,27d 5h 22m,27d 5h 22m
GMTUSDT Perpetual,0,106.81%,75.84,14d 17h 9m,14d 17h 9m
BTCUSDT Perpetual,0,106.64%,5.33,12d 23h 14m,12d 23h 14m
LTCUSDT Perpetual,0,106.62%,21.32,24d 12h 37m,24d 12h 37m
ATOMUSDT Perpetual,0,106.53%,496.92,25d 9h 44m,25d 9h 44m
ADABUSD Perpetual,1,106.28%,318.84,33d 8h 22m,33d 8h 22m
GMTBUSD Perpetual,2,106.25%,2.23,16d 17h 42m,16d 17h 42m
TLMBUSD Perpetual,0,106.10%,106.11,10d 17h 57m,10d 17h 57m
JASMYUSDT Perpetual,1,106.02%,3.18,10d 8h 24m,10d 8h 24m
BNXUSDT Perpetual,2,106.02%,7951.52,27d 11h 43m,27d 11h 43m
SOLBUSD Perpetual,2,105.95%,56.18,22d 2h 54m,22d 2h 54m
BTCBUSD Perpetual,0,105.38%,151.76,23d 13h 55m,23d 13h 55m
SNXUSDT Perpetual,0,105.34%,23.18,12d 3h 37m,12d 3h 37m
UNFIUSDT Perpetual,0,105.23%,10.52,11d 12h 41m,11d 12h 41m
ADAUSDT Perpetual,1,105.01%,52.51,27d 19h 26m,27d 19h 26m
1000LUNCBUSD Perpetual,0,104.83%,20.97,7d 23h 53m,7d 23h 53m
DOGEUSDT Perpetual,0,104.55%,52.28,26d 2h 57m,26d 2h 57m
1000SHIBUSDT Perpetual,0,104.49%,46.83,19d 13h 47m,19d 13h 47m
WAVESUSDT Perpetual,0,103.99%,63.44,10d 11h 20m,10d 11h 20m
SANDUSDT Perpetual,0,103.36%,516.83,28d 40m,28d 40m
BELUSDT Perpetual,0,103.26%,22.72,12d 8h 46m,12d 8h 46m
ETHBUSD Perpetual,0,102.97%,51.49,19d 12h 24m,19d 12h 24m
MANAUSDT Perpetual,0,102.96%,27.76,57d 12h 55m,57d 12h 55m
ETHBUSD Perpetual,0,102.82%,101.80,18d 19h 54m,18d 19h 54m
BTCBUSD Perpetual,0,102.51%,1021.49,22d 30m,22d 30m
ETHBUSD Perpetual,1,102.38%,169.95,25d 19h 14m,25d 19h 14m
BTCUSDT Perpetual,0,102.08%,122.50,27d 12h 21m,27d 12h 21m
DOTBUSD Perpetual,0,101.76%,305.30,32d 9h 30m,32d 9h 30m
DOGEBUSD Perpetual,2,101.64%,148.40,28d 32m,28d 32m
GALAUSDT Perpetual,0,101.60%,4.46,15d 13h 5m,15d 13h 5m
ICPBUSD Perpetual,0,101.60%,1016.00,30d 17h 42m,30d 17h 42m
APEBUSD Perpetual,0,101.40%,12.51,12d 11m,12d 11m
ICPBUSD Perpetual,0,101.26%,1265.80,30d 17h 29m,30d 17h 29m
SOLBUSD Perpetual,0,101.20%,97.91,36d 12h 55m,36d 12h 55m
BANDUSDT Perpetual,0,100.99%,11.11,16d 15h 9m,16d 15h 9m
SOLBUSD Perpetual,0,100.64%,1296.25,29d 2h 19m,29d 2h 19m
BTCBUSD Perpetual,0,100.47%,1004.74,20d 11h 54m,20d 11h 54m
ADAUSDT Perpetual,0,100.01%,18.02,23d 11h 36m,23d 11h 36m
ETHBUSD Perpetual,0,99.54%,18.91,13d 58m,13d 58m
ETHUSDT Perpetual,0,99.30%,14.82,26d 45m,26d 45m
BTCUSDT Perpetual,0,99.26%,20.62,20d 12h 12m,20d 12h 12m
KAVAUSDT Perpetual,0,98.67%,2.39,6d 9h 31m,6d 9h 31m
BTSUSDT Perpetual,0,98.62%,30.58,30d 22h 26m,30d 22h 26m
ADAUSDT Perpetual,0,98.60%,5.92,9d 22h 42m,9d 22h 42m
ADAUSDT Perpetual,0,98.17%,91.06,53d 7h 25m,53d 7h 25m
AVAXBUSD Perpetual,0,97.80%,14.67,25d 17h 50m,25d 17h 50m
SOLUSDT Perpetual,0,97.72%,195.46,25d 18h 38m,25d 18h 38m
MANAUSDT Perpetual,0,97.72%,19.54,8d 23h 8m,8d 23h 8m
WAVESUSDT Perpetual,0,96.92%,242.31,1y 65d 22h 17m,1y 65d 22h 17m
ADAUSDT Perpetual,2,96.76%,212.07,29d 12h 1m,29d 12h 1m
GMTBUSD Perpetual,1,96.74%,30.96,20d 22h 33m,20d 22h 33m
1000SHIBUSDT Perpetual,0,96.49%,9.72,19d 3h 51m,19d 3h 51m
DOTUSDT Perpetual,0,94.54%,945.42,327d 19h 44m,327d 19h 44m
PEOPLEUSDT Perpetual,1,94.53%,1890.69,13d 12h 32m,13d 12h 32m
DENTUSDT Perpetual,0,94.40%,944.07,27d 21h 55m,27d 21h 55m
UNFIUSDT Perpetual,0,94.27%,6127.74,32d 54m,32d 54m
1000SHIBUSDT Perpetual,0,94.26%,28.28,18d 2h 3m,18d 2h 3m
CELRUSDT Perpetual,0,94.08%,75.27,164d 23m,164d 23m
LTCUSDT Perpetual,0,93.94%,939.42,224d 13h 33m,224d 13h 33m
ETHBUSD Perpetual,0,93.75%,17.81,12d 5h 9m,12d 5h 9m
DUSKUSDT Perpetual,0,93.58%,233.97,27d 1h 26m,27d 1h 26m
BELUSDT Perpetual,0,93.54%,327.41,11d 19h 43m,11d 19h 43m
DOTUSDT Perpetual,0,93.49%,48.62,17d 4h 58m,17d 4h 58m
DODOBUSD Perpetual,0,93.44%,934.43,27d 20h 22m,27d 20h 22m
ADAUSDT Perpetual,0,93.35%,57.72,21d 12h 56m,21d 12h 56m
TRXBUSD Perpetual,0,93.30%,186.61,26d 16h 17m,26d 16h 17m
AXSUSDT Perpetual,0,92.90%,2880.07,36d 20h 48m,36d 20h 48m
1000LUNCBUSD Perpetual,0,92.59%,92.60,8d 20h 10m,8d 20h 10m
GALBUSD Perpetual,0,92.54%,231.36,25d 11h 41m,25d 11h 41m
LTCUSDT Perpetual,0,92.24%,54.42,28d 14h 55m,28d 14h 55m
BTCUSDT Perpetual,0,92.03%,27.71,25d 15h 21m,25d 15h 21m
