cryptoPair,copyPopularity,roi,pnl,runningTime
ANC/BUSD,1,32.84%,41.41,38d 8h 42m
ETH/BUSD,0,32.75%,11119.32,28d 18m
DODO/BTC,0,32.66%,172.47,61d 17h 20m
KEY/USDT,0,32.52%,58.54,48d 7h 56m
GMT/BUSD,0,32.12%,233.89,84d 35m
TRX/BTC,2,32.10%,28.10,72d 17h 29m
ETH/USDT,0,32.01%,209.10,18d 3h 26m
ETH/BUSD,0,31.87%,469.33,18d 19h 17m
DOGE/BTC,1,31.81%,111.11,109d 13h 53m
BNB/ETH,9,31.77%,238.42,108d 23h 19m
SAND/BUSD,0,31.76%,75.98,70d 4h 36m
SHIB/BUSD,1,31.76%,107.25,55d 41m
ETH/USDT,0,31.53%,647.36,30d 22h 47m
APE/BUSD,0,31.48%,99.16,70d 3h 25m
LAZIO/BUSD,2,31.38%,20.01,62d 19h 13m
GMT/BUSD,0,31.32%,641.39,59d 18h 42m
DUSK/BTC,0,31.25%,1295.32,38d 18h 36m
CTK/USDT,0,31.09%,223.74,48d 10h 59m
ETH/USDT,0,31.06%,278.95,32d 22h 34m
UNI/USDT,0,30.81%,25.22,67d 5h 42m
CTXC/USDT,0,30.77%,263.83,20d 19h 48m
SOL/BTC,4,30.64%,3.68,43d 23h 21m
OOKI/BNB,0,30.57%,249.56,20d 9h 42m
ATOM/USDT,1,30.49%,115.04,46d 7h 9m
FTM/USDT,0,30.46%,64.84,38d 10h 49m
ETH/USDT,0,30.42%,312.86,32d 22h 22m
TRX/BUSD,0,30.37%,1041.62,87d 4h 15m
ETH/USDT,5,30.28%,81.83,7d 11h 21m
ETC/BUSD,0,30.07%,473.04,28d 7h 52m
CHESS/BUSD,0,30.04%,405.33,56d 6h 18m
DOGE/USDT,4,29.93%,2646.49,37d 11h 55m
ETH/BUSD,0,29.82%,385.44,35d 21h 48m
SHIB/DOGE,0,29.81%,18.51,105d 11h 55m
FTM/USDT,0,29.73%,132.96,31d 21h 20m
MDX/USDT,1,29.72%,536.41,20d 12h 22m
SOL/BUSD,0,29.66%,270.39,37d 20h 29m
ASR/USDT,0,29.42%,30.76,39d 11h 28m
UNI/BUSD,2,29.39%,105.55,68d 15h 17m
ANC/BTC,1,29.35%,30.22,40d 19h 35m
KP3R/USDT,0,29.32%,51.37,60d 18h 55m
ICP/USDT,0,29.31%,2640.30,39d 8h 13m
MATIC/BUSD,0,29.22%,55.07,20d 10h 47m
XMR/USDT,1,29.21%,1004.86,35d 21h 38m
MATIC/BUSD,0,29.20%,97.06,69d 11h 51m
THETA/BTC,3,29.15%,60.80,43d 10h 47m
SLP/USDT,2,29.11%,30.95,38d 4h 19m
ETH/USDT,0,29.00%,194.57,30d 5h 49m
LINK/ETH,2,28.98%,158.47,70d 21h 37m
WAVES/BTC,2,28.94%,54.70,70d 20h 56m
IMX/BTC,0,28.92%,104.56,59d 20h 10m
SHIB/DOGE,0,28.88%,453.44,71d 5h 56m
TRX/BTC,0,28.83%,148.25,73d 21h 17m
ETH/BUSD,0,28.81%,426.33,20d 14h 34m
AVAX/USDT,0,28.69%,26.30,35d 12m
TRX/USDT,0,28.67%,133.47,86d 22h 47m
ROSE/BTC,0,28.51%,58.56,69d 9h 50m
FORTH/USDT,1,28.49%,141.05,61d 14h 54m
ALICE/BUSD,0,28.48%,25.80,68d 22h 17m
MATIC/USDT,0,28.47%,43.83,41d 18h 57m
ANT/USDT,0,28.44%,34.60,60d 10h 41m
MATIC/BUSD,0,28.34%,80.90,38d 14h 27m
TROY/USDT,0,28.31%,82.77,60d 18h 56m
GMT/BUSD,0,28.24%,12.64,31d 9h 8m
ETH/USDT,0,28.19%,279.90,27d 15h 20m
LOKA/BUSD,0,28.16%,85.93,26d 22h 3m
SHIB/DOGE,0,28.09%,2065.60,70d 22h 19m
EGLD/USDT,6,28.06%,171.72,38d 15h 20m
ETH/USDT,0,28.02%,176.11,27d 16h 1m
AVAX/USDT,2,28.01%,29.46,9d 5h 4m
GMT/BUSD,0,28.00%,133.51,46d 24m
